zip,USAC_Gender,USAC_Age,Road_Cat,Track_Cat, XC_Cat, DH_Cat, OT_Cat, MX_Cat, Cross_Cat
35661,M,48,2,5,1,2,3,2,3
80207,M,56,3,3,2,2,3,2,3
80919,M,42,,,,,,,
30318,M,43,2,5,2,2,3,2,2
98115,M,50,2,2,2,2,3,2,2
48327,M,57,2,2,1,1,2,1,2
37939,M,65,4,5,1,3,2,3,4
46112,M,58,5,5,1,1,3,1,3
60202,F,59,4,4,3,3,3,3,4
72207,M,55,1,5,1,3,3,3,1
52403,M,62,3,4,2,3,3,2,3
19025,M,48,3,5,3,3,3,3,2
18974,F,56,3,4,1,2,3,2,1
20024,M,49,1,1,1,1,3,1,1
12020,M,53,4,4,2,2,3,2,4
54423,M,66,5,5,2,2,2,2,4
80526,M,49,3,4,2,3,3,3,5
90703,M,49,2,2,2,2,3,2,2
90293,M,46,2,3,3,3,3,3,4
18042,M,55,3,4,1,1,1,1,2
7866,M,58,2,4,1,1,1,1,2
27312,M,57,3,4,2,2,2,2,3
61341,M,45,5,5,2,2,3,2,3
84105,M,47,2,4,2,2,3,2,3
46220,M,62,2,3,3,3,3,3,3
45208,M,59,3,4,3,3,3,3,3
5488,M,52,2,4,1,1,3,1,5
78752,M,50,5,5,2,2,2,2,4
19530,M,41,3,3,1,2,3,2,2
72908,M,56,3,5,2,3,3,3,3
1746,M,57,3,5,2,3,3,3,4
11238,M,47,4,5,1,1,3,1,5
12758,M,58,4,4,3,3,3,3,4
77005,M,56,2,3,3,3,2,3,3
23669,M,59,4,5,2,3,3,3,4
60634,M,59,4,4,1,2,3,2,5
80304,M,44,1,4,1,1,1,1,1
75238,M,47,1,3,1,1,3,1,1
44072,M,52,2,4,2,3,3,3,2
91387,M,50,2,1,1,2,2,2,3
76116,M,43,2,4,1,2,2,3,2
98801,M,55,3,3,2,2,3,2,3
95945,M,61,3,2,3,3,3,3,3
80540,M,48,4,5,2,2,3,2,3
60510,M,64,5,5,2,2,3,2,3
13035,M,53,3,4,1,2,3,2,2
78233,M,54,4,5,1,3,3,3,3
77009,M,46,2,4,1,2,3,2,2
11795,M,59,2,3,2,2,3,2,3
