zip,Total_racers,Male_Racers,Female_Racers,Junior_Racers,Elite_Racers,Master_Racers,Pro_Road_Racers,Pro_MTB_Racers,Pro_Track_Racers,Pro_Cross_Racers,Mid_Road_Racers,Mid_MTB_Racers,Mid_Track_Racers,Mid_Cross_Racers
20874,10,10,0,1,4,5,1,2,0,0,0,10,0,1
20876,4,3,1,1,0,3,0,0,0,0,1,4,0,1
20877,2,2,0,0,1,1,0,0,0,0,0,2,0,0
20878,20,14,6,8,1,11,2,1,0,0,3,20,1,3
20879,2,2,0,0,0,2,1,1,0,2,1,2,0,0
20882,2,2,0,0,0,2,0,0,0,0,1,2,0,0
20895,22,20,2,7,6,9,1,1,0,1,4,22,0,3
20901,17,15,2,2,2,13,2,2,0,2,3,17,0,1
20902,9,9,0,0,5,4,2,3,0,2,3,9,0,1
20903,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20905,3,2,1,0,2,1,0,1,0,0,0,3,0,0
20906,15,14,1,0,4,11,5,3,0,4,4,14,2,4
20910,34,28,6,7,11,16,2,4,0,1,10,33,0,5
20912,8,7,1,1,3,4,2,1,0,1,1,8,0,3
20916,1,0,1,0,0,1,0,0,0,0,0,1,0,0
21001,1,1,0,0,0,1,0,1,0,0,0,1,0,0
21005,1,1,0,0,0,1,0,0,0,0,0,1,0,0
21009,3,1,2,0,2,1,0,0,0,0,0,3,0,0
21012,4,2,2,0,2,2,0,0,0,0,0,4,0,1
21013,2,1,1,1,1,0,0,1,0,0,0,2,0,0
21014,7,7,0,2,2,3,0,4,0,1,1,6,0,1
21015,4,4,0,0,1,3,1,2,0,0,0,4,0,1
